business_name,address,phone,email,contact_name,city,source,url
Treasure Coast Self Storage,"3950 S US Hwy 1,  Fort Pierce,  FL 34982",772-465-3788,info@treasurecoastselfstorage.com,,Unlisted,Fort Pierce,
Stuart Self Storage,"2945 SE Federal Hwy,  Stuart,  FL 34997",772-286-0700,stuartselfstorage@gmail.com,,Unlisted,Stuart,
Port St Lucie Self Storage,"1150 SW Port St Lucie Blvd,  Port St Lucie,  FL 34953",772-336-7000,info@pslselfstorage.com,,Unlisted,Port St Lucie,
Vero Beach Self Storage,"1250 US Hwy 1,  Vero Beach,  FL 32960",772-562-2000,info@verobeachstorage.com,,Unlisted,Vero Beach,
American Self Storage,"715 SW Prima Vista Blvd,  Port St Lucie,  FL 34983",772-878-2000,info@americanselfstorage.com,,Unlisted,Port St Lucie,
StorQuest Self Storage,"3600 SE Federal Hwy,  Stuart,  FL 34997",772-691-3000,info@storquest.com,,Unlisted,Stuart,
Extra Space Storage,"5750 US Hwy 1,  Vero Beach,  FL 32967",772-794-8000,info@extraspace.com,,Unlisted,Vero Beach,
Public Storage,"860 SW Port St Lucie Blvd,  Port St Lucie,  FL 34953",772-337-4477,info@publicstorage.com,,Unlisted,Port St Lucie,
U-Haul Storage of Stuart,"2900 SE Federal Hwy,  Stuart,  FL 34997",772-283-6863,uhaulstuart@uhaul.com,,Unlisted,Stuart,
CubeSmart Self Storage,"970 US Hwy 1,  Sebastian,  FL 32958",772-589-8800,info@cubesmart.com,,Unlisted,Sebastian,
Palm City Mini Storage,"3315 SW Mapp Rd,  Palm City,  FL 34990",772-219-4500,palmcitymini@gmail.com,,Unlisted,Palm City,
Fort Pierce Mini Storage,"1007 Okeechobee Rd,  Fort Pierce,  FL 34945",772-468-1000,info@fpministorage.com,,Unlisted,Fort Pierce,
Jensen Beach Boat & RV Storage,"2445 NE Jensen Beach Blvd,  Jensen Beach,  FL 34957",772-334-1000,info@jbrvstorage.com,,Unlisted,Jensen Beach,
Hobe Sound Mini Storage,"8784 SE Bridge Rd,  Hobe Sound,  FL 33455",772-546-2000,info@hobesoundmini.com,,Unlisted,Hobe Sound,
Sebastian Self Storage,"805 US Hwy 1,  Sebastian,  FL 32958",772-589-7777,info@sebastianstorage.com,,Unlisted,Sebastian,
Industrial Warehouse - Selvitz Rd,"Stuart FL, 772-286-5744, jbaron@commercialrealestatellc.com",John Baron,Stuart,,Database,Commercial real estate warehouse,
Florida East Coast Industries,"Stuart FL, , info@feci.com",,Stuart,,Database,Industrial real estate development,
Costco Distribution Center,"Port St Lucie FL (coming 2026), , ",www.costco.com,Unlisted,,Port St Lucie,Database,
St Lucie Warehouse Complex,"1600 SE Village Green Dr Port Saint Lucie FL 34952, , info@slcwarehouse.com",,Port St Lucie,,Database,Warehouse complex,
Martin County Industrial Park,"Flagler Ave,  Stuart,  FL 34994",,,,Unlisted,Stuart,
Port St Lucie Industrial Park,"SW Gatlin Blvd,  Port St Lucie,  FL 34986",,,,Unlisted,Port St Lucie,
Vero Beach Industrial Complex,"US-1,  Vero Beach,  FL 32960",,,,Unlisted,Vero Beach,
